method,top_n,question_order,match_scores,evaluation_scores,binary_scores,combined_scores,normalized_binary_score,normalized_score,normalized_combined_score,job_number
original,10,"[123, 181, 184, 44, 140, 159, 99, 37, 142, 112]","[0.8717855629715157, 0.8139235323806406, 0.80836352101165, 0.7951065907807608, 0.7591617387111618, 0.7549429596937056, 0.7397878080448299, 0.7216095027857492, 0.700417749429269, 0.86737683899286]","[3, 4, 4, 4, 4, 1, 4, 4, 4, 4]","[0, 1, 1, 1, 1, 0, 0, 1, 1, 1]","[3, 6, 6, 6, 6, 1, 4, 6, 6, 6]",0.7,0.9,0.8333333333333334,1
reranked,10,"[172, 79, 123, 73, 63, 116, 45, 66, 180, 159]","[2.5604508, 2.078442, 1.7087429, 1.5424385, 0.62823397, -0.32463014, -0.34092298, -0.95208514, -1.1544995, 2.4606671]","[1, 4, 3, 3, 4, 3, 4, 3, 4, 1]","[0, 1, 0, 0, 1, 1, 1, 0, 1, 0]","[1, 6, 3, 3, 6, 5, 6, 3, 6, 1]",0.5,0.75,0.6666666666666666,1
original,15,"[123, 181, 184, 44, 140, 159, 99, 37, 142, 112, 54, 180, 152, 79, 178]","[0.8717855629715157, 0.8139235323806406, 0.80836352101165, 0.7951065907807608, 0.7591617387111618, 0.7549429596937056, 0.7397878080448299, 0.7216095027857492, 0.700417749429269, 0.86737683899286, 0.7869578211869033, 0.774583793845844, 0.7534506927497828, 0.7208546977296763, 0.7016493142800173]","[3, 4, 4, 4, 4, 1, 4, 4, 4, 4, 3, 4, 1, 4, 4]","[0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1]","[3, 6, 6, 6, 6, 1, 4, 6, 6, 6, 5, 6, 1, 6, 6]",0.7333333333333333,0.8666666666666667,0.8222222222222222,1
reranked,15,"[172, 79, 123, 73, 63, 116, 45, 66, 180, 159, 140, 85, 112, 38, 181]","[2.5604508, 2.078442, 1.7087429, 1.5424385, 0.62823397, -0.32463014, -0.34092298, -0.95208514, -1.1544995, 2.4606671, 1.1922197, 1.1324136, 0.7318924, 0.32239485, -1.2417918]","[1, 4, 3, 3, 4, 3, 4, 3, 4, 1, 4, 4, 4, 4, 4]","[0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]","[1, 6, 3, 3, 6, 5, 6, 3, 6, 1, 6, 6, 6, 6, 6]",0.6666666666666666,0.8333333333333334,0.7777777777777778,1
original,20,"[123, 181, 184, 44, 140, 159, 99, 37, 142, 112, 54, 180, 152, 79, 178, 116, 113, 138, 117, 38]","[0.8717855629715157, 0.8139235323806406, 0.80836352101165, 0.7951065907807608, 0.7591617387111618, 0.7549429596937056, 0.7397878080448299, 0.7216095027857492, 0.700417749429269, 0.86737683899286, 0.7869578211869033, 0.774583793845844, 0.7534506927497828, 0.7208546977296763, 0.7016493142800173, 0.6806490807850666, 0.6712973383160488, 0.8407755095304991, 0.8386138198456758, 0.7839367933050834]","[3, 4, 4, 4, 4, 1, 4, 4, 4, 4, 3, 4, 1, 4, 4, 3, 3, 3, 3, 4]","[0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[3, 6, 6, 6, 6, 1, 4, 6, 6, 6, 5, 6, 1, 6, 6, 5, 5, 5, 5, 6]",0.8,0.85,0.8333333333333334,1
reranked,20,"[172, 79, 123, 73, 63, 116, 45, 66, 180, 159, 140, 85, 112, 38, 181, 192, 117, 171, 157, 150]","[2.5604508, 2.078442, 1.7087429, 1.5424385, 0.62823397, -0.32463014, -0.34092298, -0.95208514, -1.1544995, 2.4606671, 1.1922197, 1.1324136, 0.7318924, 0.32239485, -1.2417918, -1.379698, -1.8696313, 2.2591448, 1.397326, 1.061216]","[1, 4, 3, 3, 4, 3, 4, 3, 4, 1, 4, 4, 4, 4, 4, 3, 3, 1, 1, 3]","[0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0]","[1, 6, 3, 3, 6, 5, 6, 3, 6, 1, 6, 6, 6, 6, 6, 3, 5, 1, 1, 3]",0.55,0.7625,0.6916666666666667,1
original,25,"[123, 181, 184, 44, 140, 159, 99, 37, 142, 112, 54, 180, 152, 79, 178, 116, 113, 138, 117, 38, 122, 129, 139, 73, 68]","[0.8717855629715157, 0.8139235323806406, 0.80836352101165, 0.7951065907807608, 0.7591617387111618, 0.7549429596937056, 0.7397878080448299, 0.7216095027857492, 0.700417749429269, 0.86737683899286, 0.7869578211869033, 0.774583793845844, 0.7534506927497828, 0.7208546977296763, 0.7016493142800173, 0.6806490807850666, 0.6712973383160488, 0.8407755095304991, 0.8386138198456758, 0.7839367933050834, 0.7734034032123267, 0.7733018802608018, 0.7676195103687028, 0.7493461953837767, 0.7442863134262862]","[3, 4, 4, 4, 4, 1, 4, 4, 4, 4, 3, 4, 1, 4, 4, 3, 3, 3, 3, 4, 4, 3, 4, 3, 3]","[0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0]","[3, 6, 6, 6, 6, 1, 4, 6, 6, 6, 5, 6, 1, 6, 6, 5, 5, 5, 5, 6, 6, 3, 6, 3, 3]",0.72,0.85,0.8066666666666666,1
reranked,25,"[172, 79, 123, 73, 63, 116, 45, 66, 180, 159, 140, 85, 112, 38, 181, 192, 117, 171, 157, 150, 68, 152, 139, 138, 37]","[2.5604508, 2.078442, 1.7087429, 1.5424385, 0.62823397, -0.32463014, -0.34092298, -0.95208514, -1.1544995, 2.4606671, 1.1922197, 1.1324136, 0.7318924, 0.32239485, -1.2417918, -1.379698, -1.8696313, 2.2591448, 1.397326, 1.061216, 0.8731408, 0.62994623, 0.49580938, 0.4341869, 0.34343034]","[1, 4, 3, 3, 4, 3, 4, 3, 4, 1, 4, 4, 4, 4, 4, 3, 3, 1, 1, 3, 3, 1, 4, 3, 4]","[0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1]","[1, 6, 3, 3, 6, 5, 6, 3, 6, 1, 6, 6, 6, 6, 6, 3, 5, 1, 1, 3, 3, 1, 6, 5, 6]",0.56,0.76,0.6933333333333334,1
original,10,"[112, 44, 138, 99, 116, 180, 123, 154, 37, 184]","[0.8513548455766535, 0.812229413606724, 0.7786973516450018, 0.754241050607359, 0.7524396004360506, 0.7137761056199801, 0.7036315451859436, 0.6966931766343119, 0.7790941288747391, 0.7017643903553692]","[4, 4, 4, 4, 4, 4, 4, 1, 4, 4]","[1, 1, 0, 0, 0, 0, 1, 0, 1, 0]","[6, 6, 4, 4, 4, 4, 6, 1, 6, 4]",0.4,0.925,0.75,2
reranked,10,"[123, 86, 37, 140, 112, 185, 138, 99, 129, 44]","[1.3029345, 0.71653605, 0.28734627, 0.24121074, -0.44925034, -0.6172725, -0.6274297, -1.1108528, 0.5420474, 0.13578767]","[4, 4, 4, 4, 4, 4, 4, 4, 3, 4]","[1, 1, 1, 1, 1, 0, 0, 0, 1, 1]","[6, 6, 6, 6, 6, 4, 4, 4, 5, 6]",0.7,0.975,0.8833333333333333,2
original,15,"[112, 44, 138, 99, 116, 180, 123, 154, 37, 184, 170, 86, 129, 117, 113]","[0.8513548455766535, 0.812229413606724, 0.7786973516450018, 0.754241050607359, 0.7524396004360506, 0.7137761056199801, 0.7036315451859436, 0.6966931766343119, 0.7790941288747391, 0.7017643903553692, 0.6877916535560825, 0.6830868264675437, 0.8294587993448996, 0.8020675624041378, 0.7929687750263298]","[4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 1, 4, 3, 4, 4]","[1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1]","[6, 6, 4, 4, 4, 4, 6, 1, 6, 4, 1, 6, 5, 6, 6]",0.5333333333333333,0.8833333333333333,0.7666666666666667,2
reranked,15,"[123, 86, 37, 140, 112, 185, 138, 99, 129, 44, 170, 194, 116, 135, 83]","[1.3029345, 0.71653605, 0.28734627, 0.24121074, -0.44925034, -0.6172725, -0.6274297, -1.1108528, 0.5420474, 0.13578767, -0.989293, -1.0930848, -1.4691938, -1.7546268, -2.2739077]","[4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 1, 4, 4, 4, 4]","[1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]","[6, 6, 6, 6, 6, 4, 4, 4, 5, 6, 1, 4, 4, 4, 6]",0.5333333333333333,0.9333333333333333,0.8,2
original,20,"[112, 44, 138, 99, 116, 180, 123, 154, 37, 184, 170, 86, 129, 117, 113, 140, 134, 63, 135, 54]","[0.8513548455766535, 0.812229413606724, 0.7786973516450018, 0.754241050607359, 0.7524396004360506, 0.7137761056199801, 0.7036315451859436, 0.6966931766343119, 0.7790941288747391, 0.7017643903553692, 0.6877916535560825, 0.6830868264675437, 0.8294587993448996, 0.8020675624041378, 0.7929687750263298, 0.7907509556290867, 0.7803443007732274, 0.7779827587675121, 0.775946963860975, 0.7620691841205594]","[4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 1, 4, 3, 4, 4, 4, 4, 4, 4, 3]","[1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[6, 6, 4, 4, 4, 4, 6, 1, 6, 4, 1, 6, 5, 6, 6, 6, 6, 6, 4, 3]",0.55,0.9,0.7833333333333333,2
reranked,20,"[123, 86, 37, 140, 112, 185, 138, 99, 129, 44, 170, 194, 116, 135, 83, 117, 79, 63, 54, 151]","[1.3029345, 0.71653605, 0.28734627, 0.24121074, -0.44925034, -0.6172725, -0.6274297, -1.1108528, 0.5420474, 0.13578767, -0.989293, -1.0930848, -1.4691938, -1.7546268, -2.2739077, 0.19090241, -0.03319674, -0.44599152, -0.89584595, -1.1263171]","[4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 1, 4, 4, 4, 4, 4, 4, 4, 3, 1]","[1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]","[6, 6, 6, 6, 6, 4, 4, 4, 5, 6, 1, 4, 4, 4, 6, 6, 6, 6, 3, 1]",0.55,0.9,0.7833333333333333,2
original,25,"[112, 44, 138, 99, 116, 180, 123, 154, 37, 184, 170, 86, 129, 117, 113, 140, 134, 63, 135, 54, 133, 72, 71, 41, 84]","[0.8513548455766535, 0.812229413606724, 0.7786973516450018, 0.754241050607359, 0.7524396004360506, 0.7137761056199801, 0.7036315451859436, 0.6966931766343119, 0.7790941288747391, 0.7017643903553692, 0.6877916535560825, 0.6830868264675437, 0.8294587993448996, 0.8020675624041378, 0.7929687750263298, 0.7907509556290867, 0.7803443007732274, 0.7779827587675121, 0.775946963860975, 0.7620691841205594, 0.7504587444147708, 0.7452673518933757, 0.7393768615409743, 0.7342357108400288, 0.727599861723669]","[4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 1, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3]","[1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0]","[6, 6, 4, 4, 4, 4, 6, 1, 6, 4, 1, 6, 5, 6, 6, 6, 6, 6, 4, 3, 6, 6, 6, 6, 3]",0.6,0.91,0.8066666666666666,2
reranked,25,"[123, 86, 37, 140, 112, 185, 138, 99, 129, 44, 170, 194, 116, 135, 83, 117, 79, 63, 54, 151, 41, 196, 84, 113, 171]","[1.3029345, 0.71653605, 0.28734627, 0.24121074, -0.44925034, -0.6172725, -0.6274297, -1.1108528, 0.5420474, 0.13578767, -0.989293, -1.0930848, -1.4691938, -1.7546268, -2.2739077, 0.19090241, -0.03319674, -0.44599152, -0.89584595, -1.1263171, -1.1275647, -1.2505248, -1.344145, -1.5615497, -1.6408741]","[4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 1, 4, 4, 4, 4, 4, 4, 4, 3, 1, 4, 4, 3, 4, 1]","[1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0]","[6, 6, 6, 6, 6, 4, 4, 4, 5, 6, 1, 4, 4, 4, 6, 6, 6, 6, 3, 1, 6, 4, 3, 6, 1]",0.52,0.88,0.76,2
original,10,"[112, 184, 44, 37, 130, 193, 179, 140, 123, 192]","[0.8614982753224858, 0.8114848898868495, 0.75040148285847, 0.731960556191126, 0.726114811876639, 0.7189102213877978, 0.7115518529298089, 0.6804133277621849, 0.8490542481163238, 0.7659529901484499]","[4, 4, 4, 4, 3, 4, 4, 4, 4, 3]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 0]","[6, 6, 6, 6, 3, 6, 6, 4, 4, 3]",0.6,0.95,0.8333333333333334,3
reranked,10,"[140, 123, 99, 179, 193, 37, 116, 184, 138, 126]","[1.3188226, 1.1404414, -0.009099118, -0.0955325, -0.71602714, -1.8164803, -2.053846, 1.058677, 0.33872506, 0.09484292]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 3]","[0, 0, 0, 1, 1, 1, 0, 1, 0, 0]","[4, 4, 4, 6, 6, 6, 4, 6, 4, 3]",0.4,0.975,0.7833333333333333,3
original,15,"[112, 184, 44, 37, 130, 193, 179, 140, 123, 192, 84, 126, 138, 129, 117]","[0.8614982753224858, 0.8114848898868495, 0.75040148285847, 0.731960556191126, 0.726114811876639, 0.7189102213877978, 0.7115518529298089, 0.6804133277621849, 0.8490542481163238, 0.7659529901484499, 0.7435123000615915, 0.7056092556139775, 0.838357888943513, 0.8182767521016223, 0.8051693151902164]","[4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 3, 4]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 6, 6, 6, 3, 6, 6, 4, 4, 3, 3, 3, 4, 3, 4]",0.4,0.9166666666666666,0.7444444444444445,3
reranked,15,"[140, 123, 99, 179, 193, 37, 116, 184, 138, 126, 112, 79, 185, 63, 192]","[1.3188226, 1.1404414, -0.009099118, -0.0955325, -0.71602714, -1.8164803, -2.053846, 1.058677, 0.33872506, 0.09484292, -0.5924891, -0.8398799, -1.072598, -2.1511736, 0.83049023]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3]","[0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0]","[4, 4, 4, 6, 6, 6, 4, 6, 4, 3, 6, 6, 6, 6, 3]",0.5333333333333333,0.9666666666666667,0.8222222222222222,3
original,20,"[112, 184, 44, 37, 130, 193, 179, 140, 123, 192, 84, 126, 138, 129, 117, 113, 116, 135, 133, 63]","[0.8614982753224858, 0.8114848898868495, 0.75040148285847, 0.731960556191126, 0.726114811876639, 0.7189102213877978, 0.7115518529298089, 0.6804133277621849, 0.8490542481163238, 0.7659529901484499, 0.7435123000615915, 0.7056092556139775, 0.838357888943513, 0.8182767521016223, 0.8051693151902164, 0.8023387311615737, 0.8003811596485113, 0.7916212380064157, 0.7873148405631761, 0.7421232693348911]","[4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 3, 4, 3, 4, 4, 4, 4]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1]","[6, 6, 6, 6, 3, 6, 6, 4, 4, 3, 3, 3, 4, 3, 4, 5, 4, 4, 6, 6]",0.45,0.925,0.7666666666666667,3
reranked,20,"[140, 123, 99, 179, 193, 37, 116, 184, 138, 126, 112, 79, 185, 63, 192, 180, 197, 178, 117, 113]","[1.3188226, 1.1404414, -0.009099118, -0.0955325, -0.71602714, -1.8164803, -2.053846, 1.058677, 0.33872506, 0.09484292, -0.5924891, -0.8398799, -1.072598, -2.1511736, 0.83049023, 0.75799507, 0.2929444, 0.25681585, -0.27931142, -0.39505634]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3]","[0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[4, 4, 4, 6, 6, 6, 4, 6, 4, 3, 6, 6, 6, 6, 3, 6, 4, 6, 4, 5]",0.55,0.9625,0.825,3
original,25,"[112, 184, 44, 37, 130, 193, 179, 140, 123, 192, 84, 126, 138, 129, 117, 113, 116, 135, 133, 63, 181, 180, 54, 73, 99]","[0.8614982753224858, 0.8114848898868495, 0.75040148285847, 0.731960556191126, 0.726114811876639, 0.7189102213877978, 0.7115518529298089, 0.6804133277621849, 0.8490542481163238, 0.7659529901484499, 0.7435123000615915, 0.7056092556139775, 0.838357888943513, 0.8182767521016223, 0.8051693151902164, 0.8023387311615737, 0.8003811596485113, 0.7916212380064157, 0.7873148405631761, 0.7421232693348911, 0.7381261030274011, 0.7379971995909218, 0.7305670884278659, 0.7298374581260197, 0.7292796506037633]","[4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]","[6, 6, 6, 6, 3, 6, 6, 4, 4, 3, 3, 3, 4, 3, 4, 5, 4, 4, 6, 6, 6, 6, 6, 3, 4]",0.48,0.93,0.78,3
reranked,25,"[140, 123, 99, 179, 193, 37, 116, 184, 138, 126, 112, 79, 185, 63, 192, 180, 197, 178, 117, 113, 181, 129, 130, 187, 135]","[1.3188226, 1.1404414, -0.009099118, -0.0955325, -0.71602714, -1.8164803, -2.053846, 1.058677, 0.33872506, 0.09484292, -0.5924891, -0.8398799, -1.072598, -2.1511736, 0.83049023, 0.75799507, 0.2929444, 0.25681585, -0.27931142, -0.39505634, -0.43288964, -0.47995207, -0.88694346, -0.96225417, -1.0120645]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 3, 3, 4, 4]","[0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]","[4, 4, 4, 6, 6, 6, 4, 6, 4, 3, 6, 6, 6, 6, 3, 6, 4, 6, 4, 5, 6, 3, 3, 4, 4]",0.48,0.95,0.7933333333333333,3
original,10,"[131, 83, 184, 140, 37, 123, 127, 138, 200, 180]","[0.7915011866058803, 0.7664553355984395, 0.7254345806457989, 0.7231892443033583, 0.6913831475651424, 0.6748728506350354, 0.6651187285078207, 0.7800464296451124, 0.7560202049268536, 0.7218739237617351]","[3, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]","[5, 6, 4, 4, 6, 4, 6, 6, 4, 4]",0.5,0.975,0.8166666666666667,4
reranked,10,"[140, 76, 99, 178, 185, 112, 127, 125, 93, 86]","[1.5861429, 1.3776102, 1.2576882, 1.1530272, -0.97013706, -1.7741362, -3.3821192, 1.3690504, 1.2383835, 0.34378263]","[4, 4, 3, 4, 4, 4, 4, 3, 4, 3]","[0, 1, 0, 1, 1, 1, 1, 1, 0, 0]","[4, 6, 3, 6, 6, 6, 6, 5, 4, 3]",0.6,0.925,0.8166666666666667,4
original,15,"[131, 83, 184, 140, 37, 123, 127, 138, 200, 180, 112, 130, 178, 125, 126]","[0.7915011866058803, 0.7664553355984395, 0.7254345806457989, 0.7231892443033583, 0.6913831475651424, 0.6748728506350354, 0.6651187285078207, 0.7800464296451124, 0.7560202049268536, 0.7218739237617351, 0.6711660364470718, 0.6428044671600915, 0.5990732557360632, 0.7775729546484851, 0.7686759171020897]","[3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 3]","[1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1]","[5, 6, 4, 4, 6, 4, 6, 6, 4, 4, 6, 5, 6, 5, 5]",0.6666666666666666,0.9333333333333333,0.8444444444444444,4
